config,S_mw,B_mwh,G_mw,P_bess_max_mw,total_demand_mwh,solar_gen_mwh,solar_used_mwh,curtailed_mwh,bess_discharge_mwh,bess_charge_mwh,gas_gen_mwh,unserved_mwh,solar_share_pct,bess_share_pct,gas_share_pct,unserved_pct,solar_curtailment_pct,solar_cf_pct,bess_cycles_per_year,bess_soc_mean_pct,bess_soc_min_pct,gas_cf_pct,annual_fuel_mmbtu,annual_fuel_cost_usd,annual_co2_t,gas_variable_cost_mwh,renewable_share_pct
Gas-only baseline,0,0,68,0.0,522523.792,0.0,0.0,0.0,0.0,0.0,522523.792,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,87.47920550733956,4702714.1280000005,11756785.319999998,249714.1201968,22.499999999999996,0.0
S=100 B=200 G=60,100,200,60,50.0,522523.792,149770.4789,149770.4789,0.0,9135.15991664755,9923.046866666666,370479.82265001914,3061.3774000000003,28.662901324883595,1.748276357270168,70.90200069780155,0.5858828721047022,0.0,17.050373280965392,45.67579958323775,22.25615100134571,20.0,70.29444115247782,3334318.4038501717,8335796.00962543,177052.30724444415,22.5,30.411177682153756
S=150 B=400 G=50,150,400,50,100.0,522523.792,224655.71835,224205.9717515369,449.7465984630921,52100.440106391645,56778.32893487024,264713.27101990266,38282.438057039064,42.908280002594964,9.970922071696142,50.660520166305204,7.326448793941054,0.20019370161876499,17.050373280965392,130.25110026597912,29.531317329007035,20.0,60.27169194442228,2382419.439179124,5956048.59794781,126506.4722204115,22.5,52.87920207429111
S=200 B=600 G=40,200,600,40,150.0,522523.792,299540.9578,293701.1616718631,5839.79612813684,102307.04471088469,111538.40007186316,172216.37781645436,65837.60787266097,56.20818920947108,19.579404091686733,32.95857154317948,12.599925377687102,1.9495818438412031,17.050373280965392,170.51174118480782,36.05117228671063,20.0,49.01422410532057,1549947.4003480892,3874868.500870223,82302.20695848353,22.5,75.78759330115781
S=250 B=800 G=30,250,800,30,200.0,522523.792,374426.19724999997,358658.3981654093,15767.799084590706,153447.59298278243,167337.63049874263,101141.38135486044,76614.04999569047,68.63963012911177,29.366623172401386,19.356320784501317,14.662308428568258,4.211190135839436,17.050373280965392,191.80949122847804,41.70722334652557,20.0,38.380912778863255,910272.432193744,2275681.08048436,48335.4661494878,22.5,98.00625330151315
